player_name,position,game_info,stats,salary,fppg,points,game_day,row_number,position_clean,points_numeric
Donovan Edwards,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,336,RB,0.0
Andrew Beck,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,324,RB,0.0
Trayveon Williams,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,536,RB,0.0
Max Hurleman,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,321,RB,0.0
Evan Hull,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,315,RB,0.0
Trey Sermon,RB,"PIT 34 @ NYJ 32, Final",,$10,3.1,0.0,Sunday,309,RB,0.0
Jase McClellan,RB,"TB 23 @ ATL 20, Final",,$10,1.1,0.0,Sunday,304,RB,0.0
Owen Wright,RB,"TB 23 @ ATL 20, Final",,$10,—,0.0,Sunday,300,RB,0.0
Jashaun Corbin,RB,"TB 23 @ ATL 20, Final",,$10,—,0.0,Sunday,298,RB,0.0
Nathan Carter,RB,"TB 23 @ ATL 20, Final",,$10,—,0.0,Sunday,297,RB,0.0
Carlos Washington Jr.,RB,"TB 23 @ ATL 20, Final",,$10,—,0.0,Sunday,290,RB,0.0
Elijah Dotson,RB,"TB 23 @ ATL 20, Final",,$10,—,0.0,Sunday,289,RB,0.0
Josh Williams,RB,"TB 23 @ ATL 20, Final",,$10,—,0.0,Sunday,276,RB,0.0
Raheem BlackshearQ,RB,"CAR 10 @ JAC 26, Final",,$10,0.5,0.0,Sunday,385,RB,0.0
Jonathon BrooksPUP,RB,"CAR 10 @ JAC 26, Final",,$10,2.0,0.0,Sunday,387,RB,0.0
Emani Bailey,RB,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,388,RB,0.0
Kayron Lynch-Adams,RB,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,394,RB,0.0
Toa Taua,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,535,RB,0.0
Ahmani Marshall,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,526,RB,0.0
Pierre Strong Jr.,RB,"CIN 17 @ CLE 16, Final",,$10,2.4,0.0,Sunday,522,RB,0.0
Quali Conley,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,518,RB,0.0
Tahj Brooks,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,513,RB,0.0
Kendall Milton,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,510,RB,0.0
Gary Brightwell,RB,"CIN 17 @ CLE 16, Final",,$10,—,0.0,Sunday,501,RB,0.0
Bam Knight,RB,"ARI 20 @ NO 13, Final",,$10,—,0.0,Sunday,493,RB,0.0
Cam Akers,RB,"ARI 20 @ NO 13, Final",,$10,5.3,0.0,Sunday,490,RB,0.0
Marcus Yarns,RB,"ARI 20 @ NO 13, Final",,$10,—,0.0,Sunday,489,RB,0.0
Velus Jones Jr.,RB,"ARI 20 @ NO 13, Final",,$10,—,0.0,Sunday,481,RB,0.0
Clyde Edwards-Helaire,RB,"ARI 20 @ NO 13, Final",,$10,4.3,0.0,Sunday,477,RB,0.0
Emari Demercado,RB,"ARI 20 @ NO 13, Final",,$10,—,0.0,Sunday,467,RB,0.0
Michael Carter,RB,"ARI 20 @ NO 13, Final",,$10,7.6,0.0,Sunday,464,RB,0.0
DeeJay Dallas,RB,"ARI 20 @ NO 13, Final",,$10,1.2,0.0,Sunday,462,RB,0.0
Jonathan Ward,RB,"NYG 6 @ WAS 21, Final",,$10,0.6,0.0,Sunday,458,RB,0.0
Kazmeir Allen,RB,"NYG 6 @ WAS 21, Final",,$10,—,0.0,Sunday,447,RB,0.0
Chris Rodriguez Jr.,RB,"NYG 6 @ WAS 21, Final",,$10,3.9,0.0,Sunday,446,RB,0.0
Demetric Felton,RB,"NYG 6 @ WAS 21, Final",,$10,—,0.0,Sunday,443,RB,0.0
Dante Miller,RB,"NYG 6 @ WAS 21, Final",,$10,—,0.0,Sunday,429,RB,0.0
Eric GrayPUP,RB,"NYG 6 @ WAS 21, Final",,$10,0.9,0.0,Sunday,428,RB,0.0
Ja'Quinden Jackson,RB,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,410,RB,0.0
Kaleb Johnson,RB,"PIT 34 @ NYJ 32, Final","RUSH ATT,-2 RUSH YD",$21,-0.2,-0.2,Sunday,761,RB,-0.2
Justice Hill,RB,"BAL 40 @ BUF 41, Final","2 RUSH ATT,-14 RUSH YD,2 TGT,REC,3 REC YD",$15,-0.6,-0.6,Thursday,762,RB,-0.6
