player_name,position,game_info,stats,salary,points
Tennessee Titans,"SACK,","TEN 12 @ DEN 20, Final","20 PTS ALLOWED,SACK,2 INT,2 FUM REC",$10,10.0
Green Bay Packers,"4 SACK,","DET 13 @ GB 27, Final","13 PTS ALLOWED,4 SACK,INT",$18,10.0
Malik Nabers,"Malik Nabers
NYG 6 @ WAS 21, Final
12 TGT,5 REC,71 REC YD","NYG 6 @ WAS 21, Final","12 TGT,5 REC,71 REC YD",$34,9.6
Drake LondonQ,"Drake LondonQ
TB 23 @ ATL 20, Final
15 TGT,8 REC,55 REC YD","TB 23 @ ATL 20, Final","15 TGT,8 REC,55 REC YD",$33,9.5
Khalil Shakir,"Khalil Shakir
BAL 40 @ BUF 41, Final
9 TGT,6 REC,64 REC YD","BAL 40 @ BUF 41, Final","9 TGT,6 REC,64 REC YD",$20,9.4
Kyle Pitts Sr.,"Kyle Pitts Sr.
TB 23 @ ATL 20, Final
8 TGT,7 REC,59 REC YD","TB 23 @ ATL 20, Final","8 TGT,7 REC,59 REC YD",$12,9.4
Jake Tonges,"Jake Tonges
SF 17 @ SEA 13, Final
3 TGT,3 REC,15 REC YD,REC TD","SF 17 @ SEA 13, Final","3 TGT,3 REC,15 REC YD,REC TD",$10,9.0
San Francisco 49ers,"SACK,","SF 17 @ SEA 13, Final","13 PTS ALLOWED,SACK,2 FUM REC",$12,9.0
Washington Commanders,2 SACK,"NYG 6 @ WAS 21, Final","6 PTS ALLOWED,2 SACK",$15,9.0
Tucker Kraft,"Tucker Kraft
DET 13 @ GB 27, Final
RUSH ATT,3 RUSH YD,4 TGT,2 REC,16 REC YD,REC TD","DET 13 @ GB 27, Final","RUSH ATT,3 RUSH YD,4 TGT,2 REC,16 REC YD,REC TD",$14,8.9
Kristian Wilkerson,"Kristian Wilkerson
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,8.8
Malik Willis,"Malik Willis
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$20,8.6
Tank DellPUP,"Tank DellPUP
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$11,8.2
Seattle Seahawks,BLK KICK,"SF 17 @ SEA 13, Final","17 PTS ALLOWED,SACK,2 INT,BLK KICK",$18,8.0
New Orleans Saints,BLK KICK,"ARI 20 @ NO 13, Final","20 PTS ALLOWED,5 SACK,BLK KICK",$13,8.0
Mike Evans,"Mike Evans
TB 23 @ ATL 20, Final
8 TGT,5 REC,51 REC YD","TB 23 @ ATL 20, Final","8 TGT,5 REC,51 REC YD",$33,7.6
Isaiah LikelyO,"Isaiah LikelyO
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$12,7.3
Austin EkelerQ,"Austin EkelerQ
NYG 6 @ WAS 21, Final
6 RUSH ATT,26 RUSH YD,3 TGT,3 REC,31 REC YD","NYG 6 @ WAS 21, Final","6 RUSH ATT,26 RUSH YD,3 TGT,3 REC,31 REC YD",$16,7.2
Christian KirkO,"Christian KirkO
HOU 9 @ LA 14, Final","HOU 9 @ LA 14, Final",,$16,7.2
Brandon AiyukPUP,"Brandon AiyukPUP
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,7.1
Jalen CokerIR,"Jalen CokerIR
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$16,7.0
New England Patriots,"4 SACK,","LV 20 @ NE 13, Final","20 PTS ALLOWED,4 SACK,INT",$10,7.0
Cincinnati Bengals,"2 SACK,","CIN 17 @ CLE 16, Final","16 PTS ALLOWED,2 SACK,2 INT",$15,7.0
Sincere McCormick,"Sincere McCormick
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,6.1
Tyreek Hill,"Tyreek Hill
MIA 8 @ IND 33, Final
6 TGT,4 REC,40 REC YD","MIA 8 @ IND 33, Final","6 TGT,4 REC,40 REC YD",$26,6.0
Houston Texans,"3 SACK,","HOU 9 @ LA 14, Final","14 PTS ALLOWED,3 SACK,FUM REC",$18,6.0
Nick Chubb,"Nick Chubb
HOU 9 @ LA 14, Final
13 RUSH ATT,60 RUSH YD,TGT","HOU 9 @ LA 14, Final","13 RUSH ATT,60 RUSH YD,TGT",$16,6.0
Cam Akers,"Cam Akers
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,5.3
