player_name,position,game_info,stats,salary,points
Ko Kieft,"Ko Kieft
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,0.0
Albert Okwuegbunam,"Albert Okwuegbunam
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,0.0
Chris Myarick,"Chris Myarick
MIA 8 @ IND 33, Final","MIA 8 @ IND 33, Final",,$10,0.0
Kayron Lynch-Adams,"Kayron Lynch-Adams
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$10,0.0
Bam Knight,"Bam Knight
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,0.0
Jack Westover,"Jack Westover
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,0.0
Ketron Jackson Jr.,"Ketron Jackson Jr.
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,0.0
Shedrick Jackson,"Shedrick Jackson
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,0.0
Kisean Johnson,"Kisean Johnson
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$10,0.0
Kaden Davis,"Kaden Davis
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$10,0.0
Tahj Brooks,"Tahj Brooks
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$10,0.0
Kendall Milton,"Kendall Milton
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$10,0.0
Roderick Daniels Jr.,"Roderick Daniels Jr.
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,0.0
Kobe Hudson,"Kobe Hudson
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$10,0.0
Kelly Akharaiyi,"Kelly Akharaiyi
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,0.0
Moliki Matavao,"Moliki Matavao
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,0.0
Jack Stoll,"Jack Stoll
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,0.0
Travis Vokolek,"Travis Vokolek
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,0.0
Gunner Olszewski,"Gunner Olszewski
NYG 6 @ WAS 21, Final","NYG 6 @ WAS 21, Final",,$10,0.0
Ja'Corey Brooks,"Ja'Corey Brooks
NYG 6 @ WAS 21, Final","NYG 6 @ WAS 21, Final",,$10,0.0
Colson Yankoff,"Colson Yankoff
NYG 6 @ WAS 21, Final","NYG 6 @ WAS 21, Final",,$10,0.0
Luke McCaffrey,"Luke McCaffrey
NYG 6 @ WAS 21, Final","NYG 6 @ WAS 21, Final",,$10,0.0
Kazmeir Allen,"Kazmeir Allen
NYG 6 @ WAS 21, Final","NYG 6 @ WAS 21, Final",,$10,0.0
Ja'Quinden Jackson,"Ja'Quinden Jackson
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$10,0.0
Parker Washington,"Parker Washington
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$11,0.0
Jake Browning,"Jake Browning
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$20,-0.1
Kyle Trask,"Kyle Trask
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$20,-0.1
Kaleb Johnson,"Kaleb Johnson
PIT 34 @ NYJ 32, Final
RUSH ATT,-2 RUSH YD","PIT 34 @ NYJ 32, Final","RUSH ATT,-2 RUSH YD",$21,-0.2
Colby ParkinsonQ,"Colby ParkinsonQ
HOU 9 @ LA 14, Final
2 TGT,2 REC,-6 REC YD,FUM LOST","HOU 9 @ LA 14, Final","2 TGT,2 REC,-6 REC YD,FUM LOST",$10,-1.6
Baltimore Ravens,SACK,"BAL 40 @ BUF 41, Final","41 PTS ALLOWED,SACK",$16,-3.0
