player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Patrick Mahomes,QB,"KC 28 @ DAL 31, Final","261 PASS YD,4 PASS TD,3 RUSH ATT,30 RUSH YD",$41,22.8,29.44,1,2025-11-28 16:14:54,Week 13,Thursday
Jordan Love,QB,"GB 31 @ DET 24, Final","234 PASS YD,4 PASS TD,5 RUSH ATT,4 RUSH YD",$29,16.8,25.76,2,2025-11-28 16:14:54,Week 13,Thursday
Rashee Rice,WR,"KC 28 @ DAL 31, Final","RUSH ATT,2 RUSH YD,12 TGT,8 REC,92 REC YD,2 REC TD",$37,18.3,25.40,3,2025-11-28 16:14:54,Week 13,Thursday
Dontayvion Wicks,WR,"GB 31 @ DET 24, Final","RUSH ATT,6 RUSH YD,7 TGT,6 REC,94 REC YD,2 REC TD",$10,5.6,25.00,4,2025-11-28 16:14:54,Week 13,Thursday
Jameson Williams,WR,"GB 31 @ DET 24, Final","RUSH ATT,-5 RUSH YD,10 TGT,7 REC,144 REC YD,REC TD",$22,10.5,23.40,5,2025-11-28 16:14:54,Week 13,Thursday
Dak Prescott,QB,"KC 28 @ DAL 31, Final","320 PASS YD,2 PASS TD,INT,3 RUSH ATT,-2 RUSH YD,2PT",$41,20.7,21.60,6,2025-11-28 16:14:54,Week 13,Thursday
CeeDee Lamb,WR,"KC 28 @ DAL 31, Final","9 TGT,7 REC,112 REC YD,REC TD",$34,13.1,20.70,7,2025-11-28 16:14:54,Week 13,Thursday
Jared Goff,QB,"GB 31 @ DET 24, Final","256 PASS YD,2 PASS TD,RUSH ATT,24 RUSH YD",$35,18.1,20.64,8,2025-11-28 16:14:54,Week 13,Thursday
Joe Burrow,QB,"CIN 32 @ BAL 14, Final","261 PASS YD,2 PASS TD,3 RUSH ATT,8 RUSH YD",$34,11.7,19.24,9,2025-11-28 16:14:54,Week 13,Thursday
Derrick Henry,RB,"CIN 32 @ BAL 14, Final","10 RUSH ATT,60 RUSH YD,RUSH TD,TGT,REC,44 REC YD",$36,14.2,16.90,10,2025-11-28 16:14:54,Week 13,Thursday
Christian Watson,WR,"GB 31 @ DET 24, Final","RUSH ATT,3 RUSH YD,10 TGT,4 REC,80 REC YD,REC TD",$17,10.9,16.30,11,2025-11-28 16:14:54,Week 13,Thursday
Javonte Williams,RB,"KC 28 @ DAL 31, Final","17 RUSH ATT,59 RUSH YD,3 TGT,3 REC,21 REC YD,REC TD",$32,15.0,15.50,12,2025-11-28 16:14:54,Week 13,Thursday
Chase Brown,RB,"CIN 32 @ BAL 14, Final","15 RUSH ATT,78 RUSH YD,7 TGT,7 REC,35 REC YD",$32,11.9,14.80,13,2025-11-28 16:14:54,Week 13,Thursday
Ja'Marr Chase,WR,"CIN 32 @ BAL 14, Final","14 TGT,7 REC,110 REC YD",$38,15.3,14.50,14,2025-11-28 16:14:54,Week 13,Thursday
George Pickens,WR,"KC 28 @ DAL 31, Final","13 TGT,6 REC,88 REC YD,2PT",$39,16.7,13.80,15,2025-11-28 16:14:54,Week 13,Thursday
Travis Kelce,TE,"KC 28 @ DAL 31, Final","6 TGT,5 REC,45 REC YD,REC TD",$20,11.1,13.00,16,2025-11-28 16:14:54,Week 13,Thursday
Cincinnati Bengals,DEF,"CIN 32 @ BAL 14, Final","14 PTS ALLOWED,3 SACK,INT,3 FUM REC",$10,3.8,12.00,17,2025-11-28 16:14:54,Week 13,Thursday
David Montgomery,RB,"GB 31 @ DET 24, Final","8 RUSH ATT,32 RUSH YD,RUSH TD,2 TGT,2 REC,16 REC YD",$22,10.0,11.80,18,2025-11-28 16:14:54,Week 13,Thursday
Malik Davis,RB,"KC 28 @ DAL 31, Final","3 RUSH ATT,47 RUSH YD,RUSH TD",$10,2.6,10.70,19,2025-11-28 16:14:54,Week 13,Thursday
Isaac TeSlaa,WR,"GB 31 @ DET 24, Final","2 TGT,2 REC,35 REC YD,REC TD",$10,3.4,10.50,20,2025-11-28 16:14:55,Week 13,Thursday
Jahmyr Gibbs,RB,"GB 31 @ DET 24, Final","20 RUSH ATT,68 RUSH YD,4 TGT,3 REC,18 REC YD",$46,20.4,10.10,21,2025-11-28 16:14:55,Week 13,Thursday
Keaton Mitchell,RB,"CIN 32 @ BAL 14, Final","2 RUSH ATT,19 RUSH YD,RUSH TD,3 TGT,2 REC,12 REC YD",$10,3.8,10.10,22,2025-11-28 16:14:55,Week 13,Thursday
Romeo Doubs,WR,"GB 31 @ DET 24, Final","4 TGT,4 REC,20 REC YD,REC TD",$18,9.1,10.00,23,2025-11-28 16:14:55,Week 13,Thursday
Isaiah Likely,TE,"CIN 32 @ BAL 14, Final","6 TGT,5 REC,95 REC YD,FUM LOST",$10,3.7,10.00,24,2025-11-28 16:14:55,Week 13,Thursday
Josh Jacobs,RB,"GB 31 @ DET 24, Final","17 RUSH ATT,83 RUSH YD,TGT,REC,8 REC YD",$34,16.0,9.60,25,2025-11-28 16:14:55,Week 13,Thursday
Xavier Worthy,WR,"KC 28 @ DAL 31, Final","2 RUSH ATT,13 RUSH YD,6 TGT,4 REC,61 REC YD",$22,7.2,9.40,26,2025-11-28 16:14:55,Week 13,Thursday
Andrei Iosivas,WR,"CIN 32 @ BAL 14, Final","2 TGT,REC,29 REC YD,REC TD",$14,6.0,9.40,27,2025-11-28 16:14:55,Week 13,Thursday
Hollywood Brown,WR,"KC 28 @ DAL 31, Final","2 TGT,2 REC,20 REC YD,REC TD",$12,8.0,9.00,28,2025-11-28 16:14:55,Week 13,Thursday
