position,total_players,active_players,avg_points,avg_salary,avg_ppd
QB,5,2,8.780000000000001,35.5,0.25298887122416536
RB,10,5,8.799999999999999,19.0,0.36319413919413923
WR,12,8,3.9625,18.75,0.2037572912001791
TE,8,3,4.533333333333333,13.0,0.31079365079365084
DEF,2,2,12.5,12.5,1.0
