player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day,game_time
Cleveland Browns,DEF,"CLE 10 @ DET 34, Final","34 PTS ALLOWED,INT",$11,4.3,1.0,123,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Chig Okonkwo,TE,"TEN 0 @ HOU 26, Final","3 TGT,REC,4 REC YD",$13,4.7,0.9,124,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Chris Moore,WR,"WAS 27 @ ATL 34, Final","RUSH ATT,9 RUSH YD,3 TGT",$10,2.8,0.9,125,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Jerome Ford,RB,"CLE 10 @ DET 34, Final","RUSH ATT,-1 RUSH YD,2 TGT,REC,4 REC YD",$12,3.2,0.8,126,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Jeremy McNichols,RB,"WAS 27 @ ATL 34, Final","2 RUSH ATT,3 RUSH YD,2 TGT,REC",$10,5.7,0.8,127,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Tyler Conklin,TE,"LAC 18 @ NYG 21, Final","TGT,REC,3 REC YD",$10,2.3,0.8,128,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Chris Brooks,RB,"GB 40 @ DAL 40, Final OT","TGT,REC,REC YD",$10,1.4,0.6,21,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Scott Matlock,RB,"LAC 18 @ NYG 21, Final","TGT,REC,REC YD",$10,0.6,0.6,129,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Hunter Luepke,RB,"GB 40 @ DAL 40, Final OT","RUSH ATT,6 RUSH YD,TGT",$10,0.3,0.6,22,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Jaylin Noel,WR,"TEN 0 @ HOU 26, Final","RUSH ATT,2 RUSH YD,TGT,REC,-2 REC YD",$10,0.6,0.5,130,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Russell Wilson,QB,"LAC 18 @ NYG 21, Final",8 PASS YD,$28,12.5,0.32,131,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Ray Davis,RB,"NO 19 @ BUF 31, Final","RUSH ATT,3 RUSH YD",$10,0.8,0.3,132,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Ben Sims,TE,"GB 40 @ DAL 40, Final OT",,$10,1.5,0.0,27,2025-09-29 13:59:38,Week 4,Sunday,8:20 PM (1 NFL Game)
Jayden ReedIR,WR,"GB 40 @ DAL 40, Final OT",,$10,6.0,0.0,26,2025-09-29 13:59:38,Week 4,Sunday,8:20 PM (1 NFL Game)
John FitzPatrick,TE,"GB 40 @ DAL 40, Final OT",,$10,3.0,0.0,25,2025-09-29 13:59:38,Week 4,Sunday,8:20 PM (1 NFL Game)
Malik Willis,QB,"GB 40 @ DAL 40, Final OT",,$20,8.6,0.0,24,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Christian WatsonPUP,WR,"GB 40 @ DAL 40, Final OT",,$10,6.5,0.0,23,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Kaden Davis,WR,"CLE 10 @ DET 34, Final",,$10,—,0.0,177,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
