player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Cooper Flagg,SF,"DAL 114 @ UTA 116, Final","37:49 MIN,26 PT,10 REB,8 AST,3 ST,BLK,3 TO,4 PF",$36,37.4,59.0,1,2026-01-09 16:16:29,Week 19,Thursday
LaMelo Ball,PG,"IND 114 @ CHA 112, Final","26:49 MIN,33 PT,3 REB,8 AST,3 ST,3 TO,3 PF",$41,38.9,54.6,2,2026-01-09 16:16:29,Week 19,Thursday
Lauri Markkanen,SF,"DAL 114 @ UTA 116, Final","39:44 MIN,33 PT,7 REB,4 AST,2 BLK,3 TO,2 PF",$40,42.5,50.4,3,2026-01-09 16:16:30,Week 19,Thursday
Donovan Mitchell,SG,"CLE 122 @ MIN 131, Final","36:50 MIN,30 PT,7 REB,8 AST,ST,4 TO,4 PF",$46,46.0,49.4,4,2026-01-09 16:16:30,Week 19,Thursday
Julius Randle,PF,"CLE 122 @ MIN 131, Final","35:12 MIN,28 PT,11 REB,8 AST,4 TO,3 PF",$40,40.6,49.2,5,2026-01-09 16:16:30,Week 19,Thursday
Anthony Edwards,SG,"CLE 122 @ MIN 131, Final","37:21 MIN,25 PT,7 REB,9 AST,ST,BLK,4 TO,3 PF",$45,44.9,48.9,6,2026-01-09 16:16:30,Week 19,Thursday
T.J. McConnell,PG,"IND 114 @ CHA 112, Final","27:47 MIN,23 PT,4 REB,8 AST,4 ST,4 TO,2 PF",$23,23.4,47.8,7,2026-01-09 16:16:30,Week 19,Thursday
Pascal Siakam,PF,"IND 114 @ CHA 112, Final","35:30 MIN,30 PT,14 REB,3 AST,6 TO,2 PF",$40,40.6,45.3,8,2026-01-09 16:16:30,Week 19,Thursday
Anthony DavisGTD,C,"DAL 114 @ UTA 116, Final","35:11 MIN,21 PT,11 REB,4 AST,ST,BLK,2 TO",$47,44.0,44.2,9,2026-01-09 16:16:30,Week 19,Thursday
Keyonte George,PG,"DAL 114 @ UTA 116, Final","36:30 MIN,19 PT,3 REB,7 AST,3 ST,PF",$39,39.9,42.1,10,2026-01-09 16:16:30,Week 19,Thursday
Jaden McDaniels,SF,"CLE 122 @ MIN 131, Final","38:08 MIN,26 PT,5 REB,AST,2 ST,TO,2 PF",$29,28.6,38.5,11,2026-01-09 16:16:30,Week 19,Thursday
Rudy Gobert,C,"CLE 122 @ MIN 131, Final","36:51 MIN,11 PT,13 REB,3 AST,2 ST,TO,2 PF",$31,32.9,36.1,12,2026-01-09 16:16:30,Week 19,Thursday
Kon Knueppel,SG,"IND 114 @ CHA 112, Final","29:20 MIN,18 PT,8 REB,3 AST,ST,4 PF",$30,31.1,35.1,13,2026-01-09 16:16:30,Week 19,Thursday
Miles Bridges,PF,"IND 114 @ CHA 112, Final","36:07 MIN,19 PT,6 REB,4 AST,ST,2 TO,PF",$36,35.0,33.2,14,2026-01-09 16:16:30,Week 19,Thursday
Darius Garland,PG,"CLE 122 @ MIN 131, Final","36:33 MIN,16 PT,REB,8 AST,2 ST,2 TO,PF",$29,30.5,33.2,15,2026-01-09 16:16:30,Week 19,Thursday
De'Andre Hunter,SF,"CLE 122 @ MIN 131, Final","27:08 MIN,14 PT,7 REB,4 AST,2 ST,2 TO,2 PF",$24,24.2,32.4,16,2026-01-09 16:16:30,Week 19,Thursday
Sam Merrill,SG,"CLE 122 @ MIN 131, Final","30:48 MIN,22 PT,2 REB,3 AST,ST,3 PF",$20,22.1,31.9,17,2026-01-09 16:16:30,Week 19,Thursday
Donte DiVincenzo,SG,"CLE 122 @ MIN 131, Final","34:03 MIN,22 PT,REB,4 AST,ST,TO,4 PF",$27,28.5,31.2,18,2026-01-09 16:16:30,Week 19,Thursday
Klay Thompson,SG,"DAL 114 @ UTA 116, Final","28:46 MIN,23 PT,3 REB,5 AST,3 TO,3 PF",$18,17.5,31.1,19,2026-01-09 16:16:30,Week 19,Thursday
Jarrett Allen,C,"CLE 122 @ MIN 131, Final","29:57 MIN,11 PT,10 REB,AST,2 ST,PF",$29,30.2,30.5,20,2026-01-09 16:16:30,Week 19,Thursday
Aaron Nesmith,SF,"IND 114 @ CHA 112, Final","35:13 MIN,16 PT,5 REB,2 AST,ST,BLK,2 TO,5 PF",$25,26.7,29.0,21,2026-01-09 16:16:30,Week 19,Thursday
Evan Mobley,PF,"CLE 122 @ MIN 131, Final","37:31 MIN,19 PT,4 REB,3 AST,BLK,3 TO,4 PF",$41,40.3,28.3,22,2026-01-09 16:16:30,Week 19,Thursday
Brice Sensabaugh,SF,"DAL 114 @ UTA 116, Final","30:13 MIN,14 PT,5 REB,3 AST,ST,2 PF",$15,17.0,27.5,23,2026-01-09 16:16:30,Week 19,Thursday
Max Christie,SG,"DAL 114 @ UTA 116, Final","31:51 MIN,16 PT,4 REB,4 AST,TO",$19,21.1,25.8,24,2026-01-09 16:16:30,Week 19,Thursday
Kevin Love,C,"DAL 114 @ UTA 116, Final","23:54 MIN,10 PT,10 REB,2 AST,PF",$16,18.2,25.0,25,2026-01-09 16:16:30,Week 19,Thursday
Naji Marshall,PF,"DAL 114 @ UTA 116, Final","36:47 MIN,17 PT,2 REB,4 AST,TO,PF",$24,24.6,24.4,26,2026-01-09 16:16:30,Week 19,Thursday
Cody Williams,SF,"DAL 114 @ UTA 116, Final","22:16 MIN,8 PT,3 REB,4 AST,2 ST,PF",$10,8.4,23.6,27,2026-01-09 16:16:31,Week 19,Thursday
Naz Reid,C,"CLE 122 @ MIN 131, Final","23:57 MIN,9 PT,6 REB,3 AST,ST,BLK,4 TO,PF",$30,29.0,22.7,28,2026-01-09 16:16:31,Week 19,Thursday
Walter Clayton Jr.,PG,"DAL 114 @ UTA 116, Final","21:09 MIN,12 PT,3 AST,2 ST,2 PF",$15,15.1,22.5,29,2026-01-09 16:16:31,Week 19,Thursday
Johnny Furphy,SF,"IND 114 @ CHA 112, Final","26:17 MIN,7 PT,6 REB,2 AST,ST,BLK,TO,3 PF",$10,10.9,22.2,30,2026-01-09 16:16:31,Week 19,Thursday
Collin Sexton,PG,"IND 114 @ CHA 112, Final","17:54 MIN,11 PT,5 AST,2 ST,3 TO,4 PF",$25,24.3,21.5,31,2026-01-09 16:16:31,Week 19,Thursday
Jay Huff,C,"IND 114 @ CHA 112, Final","24:13 MIN,10 PT,2 REB,3 BLK,TO,5 PF",$21,21.4,20.4,32,2026-01-09 16:16:31,Week 19,Thursday
Moussa Diabaté,C,"IND 114 @ CHA 112, Final","35:41 MIN,10 PT,5 REB,AST,BLK,TO,4 PF",$23,24.3,19.5,33,2026-01-09 16:16:31,Week 19,Thursday
Kyle Anderson,PF,"DAL 114 @ UTA 116, Final","26:06 MIN,2 PT,7 REB,2 AST,2 ST,PF",$18,21.0,19.4,34,2026-01-09 16:16:31,Week 19,Thursday
Brandon Miller,SF,"IND 114 @ CHA 112, Final","19:05 MIN,6 PT,4 REB,3 AST,2 BLK,3 TO,2 PF",$34,33.1,18.3,35,2026-01-09 16:16:31,Week 19,Thursday
Quenton Jackson,SG,"IND 114 @ CHA 112, Final","17:57 MIN,4 PT,5 AST,ST,BLK,TO,2 PF",$16,13.4,16.5,36,2026-01-09 16:16:31,Week 19,Thursday
Isaiah Collier,PG,"DAL 114 @ UTA 116, Final","18:20 MIN,7 PT,REB,6 AST,BLK,4 TO",$21,21.7,16.2,37,2026-01-09 16:16:31,Week 19,Thursday
Kyle Filipowski,C,"DAL 114 @ UTA 116, Final","17:47 MIN,8 PT,4 REB,AST,ST,2 TO,PF",$23,21.5,15.3,38,2026-01-09 16:16:31,Week 19,Thursday
Ben Sheppard,SG,"IND 114 @ CHA 112, Final","26:32 MIN,7 PT,4 REB,2 AST,3 PF",$15,15.7,14.8,39,2026-01-09 16:16:31,Week 19,Thursday
