position,total_players,active_players,avg_points,avg_salary,avg_ppd
QB,6,2,17.09,26.5,0.6472571428571429
RB,7,6,6.833333333333333,21.333333333333332,0.25620370370370377
WR,15,5,5.54,17.6,0.33812388250319286
TE,7,7,8.171428571428573,11.142857142857142,0.6844642857142856
DEF,2,2,4.5,16.0,0.28125
