position,total_players,active_players,avg_points,avg_salary,avg_ppd
QB,7,2,24.99,29.5,0.8419901719901719
RB,9,4,11.975,25.25,0.34473587223587226
WR,13,7,9.857142857142858,16.428571428571427,0.5855793887427929
TE,7,5,6.180000000000001,14.2,0.33225
DEF,2,1,12.0,10.0,1.2
