player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Jahmyr Gibbs,RB,"NYG 27 @ DET 34, Final OT","15 RUSH ATT,219 RUSH YD,2 RUSH TD,12 TGT,11 REC,45 REC YD,REC TD",$44,21.4,49.90,1,2025-11-24 16:24:04,Week 12,Sunday
Jaxon Smith-Njigba,WR,"SEA 30 @ TEN 24, Final","RUSH ATT,4 RUSH YD,10 TGT,8 REC,167 REC YD,2 REC TD",$43,19.5,33.10,2,2025-11-24 16:24:04,Week 12,Sunday
Jameis Winston,QB,"NYG 27 @ DET 34, Final OT","366 PASS YD,2 PASS TD,INT,4 RUSH ATT,13 RUSH YD,TGT,REC,33 REC YD,REC TD",$22,22.4,32.74,3,2025-11-24 16:24:05,Week 12,Sunday
Jalen Hurts,QB,"PHI 21 @ DAL 24, Final","289 PASS YD,PASS TD,7 RUSH ATT,33 RUSH YD,2 RUSH TD",$41,21.1,30.86,4,2025-11-24 16:24:05,Week 12,Sunday
Dak Prescott,QB,"PHI 21 @ DAL 24, Final","354 PASS YD,2 PASS TD,INT,5 RUSH ATT,9 RUSH YD,RUSH TD",$38,20.7,28.06,5,2025-11-24 16:24:05,Week 12,Sunday
Wan'Dale Robinson,WR,"NYG 27 @ DET 34, Final OT","RUSH ATT,14 TGT,9 REC,156 REC YD,REC TD",$22,10.9,26.10,6,2025-11-24 16:24:05,Week 12,Sunday
Emanuel Wilson,RB,"MIN 6 @ GB 23, Final","28 RUSH ATT,107 RUSH YD,2 RUSH TD,2 TGT,2 REC,18 REC YD",$13,6.2,25.50,7,2025-11-24 16:24:05,Week 12,Sunday
Amon-Ra St. Brown,WR,"NYG 27 @ DET 34, Final OT","13 TGT,9 REC,149 REC YD,REC TD",$35,16.4,25.40,8,2025-11-24 16:24:05,Week 12,Sunday
George Pickens,WR,"PHI 21 @ DAL 24, Final","9 TGT,9 REC,146 REC YD,REC TD",$33,17.0,25.10,9,2025-11-24 16:24:05,Week 12,Sunday
Cam Ward,QB,"SEA 30 @ TEN 24, Final","256 PASS YD,PASS TD,6 RUSH ATT,37 RUSH YD,RUSH TD",$21,10.5,23.94,10,2025-11-24 16:24:05,Week 12,Sunday
Derrick Henry,RB,"NYJ 10 @ BAL 23, Final","21 RUSH ATT,64 RUSH YD,2 RUSH TD,2 TGT,2 REC,24 REC YD",$34,13.9,21.80,11,2025-11-24 16:24:05,Week 12,Sunday
Caleb Williams,QB,"PIT 28 @ CHI 31, Final","239 PASS YD,3 PASS TD,4 RUSH ATT,21 RUSH YD,FUM LOST",$36,19.7,21.66,12,2025-11-24 16:24:05,Week 12,Sunday
Hunter Henry,TE,"NE 26 @ CIN 20, Final","10 TGT,7 REC,115 REC YD,REC TD",$16,8.7,21.00,13,2025-11-24 16:24:05,Week 12,Sunday
A.J. Brown,WR,"PHI 21 @ DAL 24, Final","10 TGT,8 REC,110 REC YD,REC TD",$27,10.4,21.00,14,2025-11-24 16:24:05,Week 12,Sunday
DJ Moore,WR,"PIT 28 @ CHI 31, Final","7 TGT,5 REC,64 REC YD,2 REC TD",$22,8.9,20.90,15,2025-11-24 16:24:05,Week 12,Sunday
Ashton Jeanty,RB,"CLE 24 @ LV 10, Final","17 RUSH ATT,50 RUSH YD,8 TGT,8 REC,58 REC YD,REC TD",$32,13.4,20.80,16,2025-11-24 16:24:05,Week 12,Sunday
Trevor Lawrence,QB,"JAC 27 @ ARI 24, Final OT","256 PASS YD,3 PASS TD,3 INT,5 RUSH ATT,29 RUSH YD,FUM LOST",$34,16.9,20.14,17,2025-11-24 16:24:05,Week 12,Sunday
Rashee Rice,WR,"IND 20 @ KC 23, Final OT","12 TGT,8 REC,141 REC YD,2PT",$35,16.8,20.10,18,2025-11-24 16:24:05,Week 12,Sunday
Travis Etienne Jr.,RB,"JAC 27 @ ARI 24, Final OT","15 RUSH ATT,86 RUSH YD,4 TGT,3 REC,30 REC YD,REC TD",$29,13.8,19.10,19,2025-11-24 16:24:05,Week 12,Sunday
Chimere Dike,WR,"SEA 30 @ TEN 24, Final","7 TGT,5 REC,44 REC YD,REC TD,PRTD",$13,5.9,18.90,20,2025-11-24 16:24:05,Week 12,Sunday
Jacoby Brissett,QB,"JAC 27 @ ARI 24, Final OT","317 PASS YD,PASS TD,3 RUSH ATT,20 RUSH YD",$33,16.1,18.68,21,2025-11-24 16:24:05,Week 12,Sunday
