player_name,position,salary,points,fppg
Tyrell Shavers,WR,16,0.0,13.4
Emeka Egbuka,WR,15,21.6,21.6
Jayden Higgins,WR,15,4.2,4.2
Jack Bech,WR,15,2.8,2.8
Keon Coleman,WR,14,21.2,21.2
Kyle Williams,WR,14,1.7,1.7
Nick Westbrook-Ikhine,WR,14,1.2,1.2
Michael Wilson,WR,14,1.0,1.0
Dontayvion WicksQ,WR,13,4.0,4.0
Tay Martin,WR,13,0.0,11.4
Curtis Samuel,WR,13,0.0,4.2
DeAndre Hopkins,WR,12,10.5,10.5
Greg Dortch,WR,12,0.3,0.3
Allen Lazard,WR,12,0.0,9.0
Marquez Valdes-Scantling,WR,12,0.0,5.8
Devaughn Vele,WR,12,0.0,1.8
Calvin Austin III,WR,11,15.0,15.0
Brandin Cooks,WR,11,4.1,4.1
Noah BrownQ,WR,11,3.7,3.7
Xavier Legette,WR,11,2.5,2.5
Jaylin Noel,WR,11,1.2,1.2
Parker Washington,WR,11,0.0,—
Darius Slayton,WR,11,0.0,—
Andrei Iosivas,WR,11,0.0,6.0
Tank DellPUP,WR,11,0.0,8.2
Tre Tucker,WR,10,12.4,12.4
Ben Skowronek,WR,10,8.7,8.7
Isaac TeSlaa,WR,10,7.8,7.8
Ray-Ray McCloud III,WR,10,6.6,6.6
Troy Franklin,WR,10,6.4,6.4
Dont'e Thornton Jr.,WR,10,5.5,5.5
Sterling Shepard,WR,10,5.4,5.4
Casey Washington,WR,10,4.8,4.8
Xavier Hutchinson,WR,10,4.5,4.5
Tyler Johnson,WR,10,4.1,4.1
Xavier Smith,WR,10,4.1,4.1
Malik Washington,WR,10,3.9,3.9
Trey McBride,TE,27,9.1,9.1
Brock BowersQ,TE,24,12.8,12.8
George KittleO,TE,24,10.5,10.5
Sam LaPorta,TE,22,10.9,10.9
David Njoku,TE,21,5.2,5.2
Mark Andrews,TE,20,1.0,1.0
Zach Ertz,TE,18,10.1,10.1
Jonnu Smith,TE,18,10.0,10.0
Evan EngramQ,TE,15,3.6,3.6
Mike Gesicki,TE,15,1.9,1.9
Taysom HillPUP,TE,15,0.0,11.5
Tyler Higbee,TE,15,0.0,9.2
Tucker Kraft,TE,14,8.9,8.9
Hunter Henry,TE,14,8.6,8.6
Pat Freiermuth,TE,14,4.3,4.3
Tyler Warren,TE,13,11.4,11.4
Chig Okonkwo,TE,13,3.4,3.4
Cade Otton,TE,13,0.0,—
Kyle Pitts Sr.,TE,12,9.4,9.4
Theo Johnson,TE,12,1.0,1.0
Isaiah LikelyO,TE,12,0.0,7.3
Dalton Kincaid,TE,11,12.8,12.8
Juwan Johnson,TE,11,11.6,11.6
Noah Fant,TE,11,10.6,10.6
Brenton Strange,TE,11,7.9,7.9
Dalton Schultz,TE,11,4.3,4.3
Harold Fannin Jr.,TE,10,10.1,10.1
Jake Tonges,TE,10,9.0,9.0
Davis Allen,TE,10,7.8,7.8
Hunter Long,TE,10,7.1,7.1
Michael Mayer,TE,10,5.8,5.8
Cade StoverQ,TE,10,4.2,4.2
Ja'Tavion Sanders,TE,10,3.7,3.7
Jackson Hawes,TE,10,3.4,3.4
Tanner Conner,TE,10,3.0,3.0
Dawson Knox,TE,10,3.0,3.0
Jeremy Ruckert,TE,10,2.6,2.6
Mason Taylor,TE,10,2.5,2.5
Mo Alie-Cox,TE,10,2.5,2.5
Gunnar Helm,TE,10,2.1,2.1
Julian Hill,TE,10,2.0,2.0
Daniel Bellinger,TE,10,1.9,1.9
Tip Reiman,TE,10,1.5,1.5
Austin Hooper,TE,10,1.5,1.5
Elijah Arroyo,TE,10,1.2,1.2
Denver Broncos,DEF,20,14.0,14.0
Indianapolis Colts,DEF,13,13.0,13.0
Jacksonville Jaguars,DEF,10,11.0,11.0
Los Angeles Rams,DEF,17,11.0,11.0
Las Vegas Raiders,DEF,10,10.0,10.0
Tennessee Titans,DEF,10,10.0,10.0
Green Bay Packers,DEF,18,10.0,10.0
Washington Commanders,DEF,15,9.0,9.0
San Francisco 49ers,DEF,12,9.0,9.0
New Orleans Saints,DEF,13,8.0,8.0
Seattle Seahawks,DEF,18,8.0,8.0
Cincinnati Bengals,DEF,15,7.0,7.0
New England Patriots,DEF,10,7.0,7.0
Houston Texans,DEF,18,6.0,6.0
Arizona Cardinals,DEF,16,5.0,5.0
Cleveland Browns,DEF,11,4.0,4.0
New York Jets,DEF,14,3.0,3.0
New York Giants,DEF,13,3.0,3.0
Tampa Bay Buccaneers,DEF,16,2.0,2.0
Pittsburgh Steelers,DEF,18,2.0,2.0
Carolina Panthers,DEF,10,2.0,2.0
Atlanta Falcons,DEF,14,1.0,1.0
Miami Dolphins,DEF,12,0.0,—
Detroit Lions,DEF,16,0.0,—
Buffalo Bills,DEF,17,0.0,—
Baltimore Ravens,DEF,16,-3.0,-3.0
