player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Ko Kieft,TE,"TB 20 @ HOU 19, Final",,$10,—,0.00,39,2025-09-16,Week 2,Monday
Payne Durham,TE,"TB 20 @ HOU 19, Final",TGT,$10,—,0.00,40,2025-09-16,Week 2,Monday
Sean Tucker,RB,"TB 20 @ HOU 19, Final",,$10,0.1,0.00,41,2025-09-16,Week 2,Monday
Devin Culp,TE,"TB 20 @ HOU 19, Final",,$10,5.7,0.00,42,2025-09-16,Week 2,Monday
Kameron Johnson,WR,"TB 20 @ HOU 19, Final",,$10,—,0.00,43,2025-09-16,Week 2,Monday
Tez Johnson,WR,"TB 20 @ HOU 19, Final",,$10,—,0.00,44,2025-09-16,Week 2,Monday
Josh Williams,RB,"TB 20 @ HOU 19, Final",,$10,—,0.00,45,2025-09-16,Week 2,Monday
Dare Ogunbowale,RB,"TB 20 @ HOU 19, Final",,$10,0.8,0.00,46,2025-09-16,Week 2,Monday
Christian KirkQ,WR,"TB 20 @ HOU 19, Final",,$17,7.2,0.00,47,2025-09-16,Week 2,Monday
Braxton BerriosQ,WR,"TB 20 @ HOU 19, Final",,$10,—,0.00,48,2025-09-16,Week 2,Monday
Davis Mills,QB,"TB 20 @ HOU 19, Final",,$20,2.4,0.00,49,2025-09-16,Week 2,Monday
Dameon Pierce,RB,"TB 20 @ HOU 19, Final",,$10,0.5,0.00,50,2025-09-16,Week 2,Monday
Tank DellPUP,WR,"TB 20 @ HOU 19, Final",,$11,8.2,0.00,51,2025-09-16,Week 2,Monday
Cade StoverIR,TE,"TB 20 @ HOU 19, Final",,$10,4.2,0.00,52,2025-09-16,Week 2,Monday
British Brooks,RB,"TB 20 @ HOU 19, Final",,$10,0.1,0.00,53,2025-09-16,Week 2,Monday
Jaylin Noel,WR,"TB 20 @ HOU 19, Final",,$10,0.6,0.00,54,2025-09-16,Week 2,Monday
Graham Mertz,QB,"TB 20 @ HOU 19, Final",,$20,—,0.00,55,2025-09-16,Week 2,Monday
Teddy Bridgewater,QB,"TB 20 @ HOU 19, Final",,$20,0.1,0.00,56,2025-09-16,Week 2,Monday
Jakob Johnson,RB,"TB 20 @ HOU 19, Final",,$10,—,0.00,57,2025-09-16,Week 2,Monday
Tyler Conklin,TE,"LAC 20 @ LV 9, Final",,$12,6.2,0.00,58,2025-09-16,Week 2,Monday
Trey Lance,QB,"LAC 20 @ LV 9, Final",,$20,3.4,0.00,59,2025-09-16,Week 2,Monday
Hassan Haskins,RB,"LAC 20 @ LV 9, Final",,$10,—,0.00,60,2025-09-16,Week 2,Monday
Tucker Fisk,TE,"LAC 20 @ LV 9, Final",,$10,1.2,0.00,61,2025-09-16,Week 2,Monday
Derius Davis,WR,"LAC 20 @ LV 9, Final",,$10,0.2,0.00,62,2025-09-16,Week 2,Monday
Scott Matlock,RB,"LAC 20 @ LV 9, Final",,$10,0.4,0.00,63,2025-09-16,Week 2,Monday
KeAndre Lambert-Smith,WR,"LAC 20 @ LV 9, Final",,$10,—,0.00,64,2025-09-16,Week 2,Monday
Oronde Gadsden,TE,"LAC 20 @ LV 9, Final",,$10,—,0.00,65,2025-09-16,Week 2,Monday
Raheem Mostert,RB,"LAC 20 @ LV 9, Final",,$10,4.7,0.00,66,2025-09-16,Week 2,Monday
Ian Thomas,TE,"LAC 20 @ LV 9, Final",,$10,0.7,0.00,67,2025-09-16,Week 2,Monday
Kenny Pickett,QB,"LAC 20 @ LV 9, Final",,$20,3.6,0.00,68,2025-09-16,Week 2,Monday
Jack Bech,WR,"LAC 20 @ LV 9, Final",,$10,2.8,0.00,69,2025-09-16,Week 2,Monday
Justin Shorter,WR,"LAC 20 @ LV 9, Final",,$10,—,0.00,70,2025-09-16,Week 2,Monday
Alex Bachman,WR,"LAC 20 @ LV 9, Final",,$10,—,0.00,71,2025-09-16,Week 2,Monday
